Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
413,Jeff Teague,PG,27,ATL,70,69,1984,366,851,0.43,94,241,0.39,272,610,0.446,0.485,225,272,0.827,30,159,189,411,88,20,194,148,1051
414,Mirza Teletovic,PF,30,PHO,70,1,1415,261,621,0.42,155,387,0.401,106,234,0.453,0.545,96,122,0.787,42,200,242,72,24,20,63,133,773
415,Garrett Temple,SF,29,WAS,70,43,1752,180,460,0.391,80,236,0.339,100,224,0.446,0.478,79,110,0.718,31,155,186,120,60,16,54,175,519
416,Jason Terry,SG,38,HOU,63,7,1114,134,327,0.41,82,224,0.366,52,103,0.505,0.535,26,31,0.839,13,58,71,86,43,8,43,83,376
417,Isaiah Thomas,PG,26,BOS,72,69,2341,520,1212,0.429,146,413,0.354,374,799,0.468,0.489,409,463,0.883,39,176,215,464,83,6,187,149,1595
418,Lance Thomas,SF,27,NYK,59,5,1313,169,382,0.442,44,109,0.404,125,273,0.458,0.5,102,119,0.857,34,97,131,53,22,7,57,109,484
419,Hollis Thompson,SG,24,PHI,68,13,1892,235,578,0.407,125,328,0.381,110,250,0.44,0.515,62,86,0.721,44,195,239,79,30,19,69,163,657
420,Jason Thompson,C,29,TOT,36,2,327,33,68,0.485,1,4,0.25,32,64,0.5,0.493,34,48,0.708,23,73,96,24,10,14,13,60,101
420,Jason Thompson,C,29,GSW,28,1,179,20,42,0.476,0,0,,20,42,0.476,0.476,20,32,0.625,10,44,54,19,4,8,7,40,60
420,Jason Thompson,C,29,TOR,8,1,148,13,26,0.5,1,4,0.25,12,22,0.545,0.519,14,16,0.875,13,29,42,5,6,6,6,20,41
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
421,Klay Thompson,SG,25,GSW,70,70,2311,573,1214,0.472,246,568,0.433,327,646,0.506,0.573,177,204,0.868,29,242,271,144,54,41,125,134,1569
422,Tristan Thompson,PF,24,CLE,72,31,2015,224,382,0.586,0,0,,224,382,0.586,0.586,124,199,0.623,240,425,665,56,29,40,54,178,572
423,Marcus Thornton,SG,28,TOT,54,6,995,197,491,0.401,84,247,0.34,113,244,0.463,0.487,56,65,0.862,33,94,127,71,40,4,44,82,534
423,Marcus Thornton,SG,28,HOU,47,6,885,174,435,0.4,73,216,0.338,101,219,0.461,0.484,51,58,0.879,31,84,115,66,34,3,40,73,472
423,Marcus Thornton,SG,28,WAS,7,0,110,23,56,0.411,11,31,0.355,12,25,0.48,0.509,5,7,0.714,2,10,12,5,6,1,4,9,62
424,Anthony Tolliver,PF,30,DET,63,4,1199,114,294,0.388,88,240,0.367,26,54,0.481,0.537,26,42,0.619,35,173,208,48,25,15,22,80,342
425,Axel Toupane,SF,23,DEN,12,0,175,13,43,0.302,9,28,0.321,4,15,0.267,0.407,6,7,0.857,5,11,16,9,5,4,2,25,41
426,Karl-Anthony Towns,C,20,MIN,72,72,2281,546,995,0.549,23,66,0.348,523,929,0.563,0.56,199,243,0.819,204,537,741,129,50,124,161,218,1314
427,P.J. Tucker,SF,30,PHO,72,70,2199,194,479,0.405,58,174,0.333,136,305,0.446,0.466,79,112,0.705,131,291,422,141,92,19,91,174,525
428,Evan Turner,SG,27,BOS,72,8,1984,296,653,0.453,16,75,0.213,280,578,0.484,0.466,127,154,0.825,44,307,351,323,70,24,146,117,735
429,Myles Turner,C,19,IND,49,25,1128,226,445,0.508,3,14,0.214,223,431,0.517,0.511,74,104,0.712,58,211,269,27,18,73,49,126,529
430,Beno Udrih,PG,33,TOT,44,5,707,86,198,0.434,15,44,0.341,71,154,0.461,0.472,18,20,0.9,8,64,72,116,14,1,53,51,205
430,Beno Udrih,PG,33,MEM,8,0,120,20,46,0.435,4,11,0.364,16,35,0.457,0.478,3,3,1,2,7,9,26,3,1,11,11,47
430,Beno Udrih,PG,33,MIA,36,5,587,66,152,0.434,11,33,0.333,55,119,0.462,0.47,15,17,0.882,6,57,63,90,11,0,42,40,158
431,Jonas Valanciunas,C,23,TOR,50,49,1292,248,438,0.566,0,0,,248,438,0.566,0.566,140,184,0.761,160,297,457,39,21,56,70,132,636
432,Anderson Varejao,C,33,TOT,47,0,454,51,113,0.451,0,1,0,51,112,0.455,0.451,27,40,0.675,32,94,126,33,14,10,22,63,129
432,Anderson Varejao,C,33,CLE,31,0,310,32,76,0.421,0,1,0,32,75,0.427,0.421,16,21,0.762,24,67,91,20,11,5,16,35,80
432,Anderson Varejao,C,33,GSW,16,0,144,19,37,0.514,0,0,,19,37,0.514,0.514,11,19,0.579,8,27,35,13,3,5,6,28,49
433,Greivis Vasquez,PG,29,MIL,16,0,361,39,112,0.348,14,54,0.259,25,58,0.431,0.411,22,25,0.88,4,33,37,71,7,0,30,33,114
434,Rashad Vaughn,SG,19,MIL,61,0,730,54,182,0.297,30,100,0.3,24,82,0.293,0.379,11,12,0.917,8,60,68,27,18,9,23,57,149
435,Charlie Villanueva,PF,31,DAL,56,4,620,115,301,0.382,40,156,0.256,75,145,0.517,0.449,22,24,0.917,22,118,140,21,15,15,29,66,292
